question,answer,llm_answer,model_parsed,correct_parsed,is_correct
"James decides to replace his car.  He sold his $20,000 car for 80% of its value and then was able to haggle to buy a $30,000 sticker price car for 90% of its value.  How much was he out of pocket?","He sold his car for 20000*.8=$<<20000*.8=16000>>16,000
He bought the new car for 30,000*.9=$<<30000*.9=27000>>27,000
That means he was out of pocket 27,000-16,000=$<<27000-16000=11000>>11,000
#### 11000","First, we need to calculate how much James received from selling his old car.
He sold his $20,000 car for 80% of its value.
Amount received from selling old car = 80% of $20,000 = 0.80 * $20,000 = $16,000.

Next, we need to calculate how much James paid for the new car.
He bought a $30,000 sticker price car for 90% of its value.
Amount paid for new car = 90% of $30,000 = 0.90 * $30,000 = $27,000.

Finally, to find out how much he was out of pocket, we need to subtract the amount he received from selling his old car from the amount he paid for the new car.
Amount out of pocket = Amount paid for new car - Amount received from selling old car
Amount out of pocket = $27,000 - $16,000 = $11,000.

#### $11,000",11000.0,11000.0,True
"The total cost of Olivia’s groceries was $42. The bananas cost her $12, the bread cost her $9, and the milk cost her $7. The only other groceries she bought were apples. In dollars, how much money did the apples cost her?","The combined cost of the bananas, bread, and milk was 12 + 9 + 7 = $<<12+9+7=28>>28.
The difference between this and the total is the cost of the apples, which must have therefore cost Olivia 42 – 28 = $<<42-28=14>>14.
#### 14","The problem states that the total cost of Olivia's groceries was $42.
We are given the costs of bananas, bread, and milk.
Cost of bananas = $12
Cost of bread = $9
Cost of milk = $7
The only other grocery item Olivia bought was apples.
To find the cost of the apples, we need to subtract the cost of the known items from the total cost.

First, calculate the total cost of the bananas, bread, and milk:
$12 (bananas) + $9 (bread) + $7 (milk) = $28

Next, subtract this sum from the total cost of groceries to find the cost of the apples:
$42 (total cost) - $28 (cost of bananas, bread, and milk) = $14

Therefore, the apples cost Olivia $14.

#### 14",14.0,14.0,True
"Jack is trying to stack cans in his emergency bunker. If he can fit 12 cans in one row, 4 rows on one shelf, and 10 shelves in one closet, how many cans can he store in each closet?","First find the total number of cans Jack can fit on one shelf: 12 cans/row * 4 rows/shelf = 48 cans/shelf
Then find the number of cans he can fit on all the shelves in one closet: 48 cans/shelf * 10 shelves = <<48*10=480>>480 cans
#### 480","To find the total number of cans Jack can store in each closet, we need to multiply the number of cans per row, the number of rows per shelf, and the number of shelves per closet.

*   Cans per row = 12
*   Rows per shelf = 4
*   Shelves per closet = 10

First, calculate the number of cans per shelf:
Cans per shelf = Cans per row × Rows per shelf
Cans per shelf = 12 cans/row × 4 rows/shelf = 48 cans/shelf

Next, calculate the total number of cans per closet:
Cans per closet = Cans per shelf × Shelves per closet
Cans per closet = 48 cans/shelf × 10 shelves/closet = 480 cans/closet

#### 480",480.0,480.0,True
"Jake's dad can drive the distance from their house to the water park in 30 minutes. He spends half that journey driving 28 miles per hour and the other half driving 60 miles per hour on the highway. If Jake can bike 11 miles per hour, how many hours will it take him to bike to the water park?","First find how long half Jake's dad's trip is: 30 minutes / 2 = <<30/2=15>>15 minutes
Then convert the minutes to hours: 15 minutes * 1 hour/60 minutes = .25 hours
Now find how far Jake's dad travels at 28 miles per hour: .25 hours * 28 miles per hour = <<.25*28=7>>7 miles
Then find how far Jake's dad travels at 60 miles per hour: .25 hours * 60 miles per hour = <<.25*60=15>>15 miles
Now add those distances to find the total distance to the water park: 7 miles + 15 miles = <<7+15=22>>22 miles
Now divide the total distance by Jake's speed to find how long it takes him: 22 miles / 11 miles/hour = <<22/11=2>>2 hours
#### 2","First, we need to determine the total distance to the water park.
The total travel time is 30 minutes, which is 0.5 hours.
The journey is split into two equal halves of time. So, each half is 30 minutes / 2 = 15 minutes, or 0.25 hours.

In the first half of the journey, the dad drives at 28 miles per hour for 0.25 hours.
Distance covered in the first half = Speed × Time = 28 mph × 0.25 hours = 7 miles.

In the second half of the journey, the dad drives at 60 miles per hour for 0.25 hours.
Distance covered in the second half = Speed × Time = 60 mph × 0.25 hours = 15 miles.

The total distance to the water park is the sum of the distances covered in both halves.
Total distance = 7 miles + 15 miles = 22 miles.

Now, we need to calculate how long it will take Jake to bike this distance.
Jake's biking speed is 11 miles per hour.
Time = Distance / Speed
Time for Jake to bike = 22 miles / 11 mph = 2 hours.

#### 2",2.0,2.0,True
"An apartment building has 12 floors and half of them are full. The remaining floors are all at half-capacity. If each floor has 10 apartments and each apartment has four people, how many people are in the building?","Half the floors are full, so there are 12 floors * 0.5 = <<12*0.5=6>>6 floors that are full.
So the full floors contain 6 floors * 10 apartments = <<6*10=60>>60 apartments.
The remaining floors are at half-capacity, so there are 12 floors – 6 full floors = <<12-6=6>>6 half-full floors.
Each of these floors therefore contains 10 apartments * 0.5 = <<10*0.5=5>>5 apartments.
So on the half-full floors, there are a total of 6 floors * 5 apartments = <<6*5=30>>30 apartments.
In total, there are 30 + 60 = <<30+60=90>>90 filled apartments in the building.
This means there are 90 apartments * 4 people per apartment = <<90*4=360>>360 people in the building.
#### 360","The problem asks us to calculate the total number of people in an apartment building based on the number of floors, occupancy of those floors, apartments per floor, and people per apartment.

**1. Total Number of Floors:**
The building has 12 floors.

**2. Number of Full Floors:**
Half of the floors are full.
Number of full floors = 12 floors / 2 = 6 floors.

**3. Number of Remaining Floors:**
The remaining floors are those that are not full.
Number of remaining floors = Total floors - Full floors = 12 - 6 = 6 floors.

**4. Number of Apartments per Floor:**
Each floor has 10 apartments.

**5. Number of People per Apartment:**
Each apartment has 4 people.

**6. People in the Full Floors:**
Each full floor has 10 apartments * 4 people/apartment = 40 people.
Total people in full floors = 6 full floors * 40 people/floor = 240 people.

**7. Occupancy of the Remaining Floors:**
The remaining floors are at half-capacity. This means each of these floors has half the number of people it would have if it were full.
A full floor has 10 apartments * 4 people/apartment = 40 people.
Half-capacity means 40 people / 2 = 20 people per remaining floor.

**8. People in the Remaining Floors:**
Total people in remaining floors = 6 remaining floors * 20 people/floor = 120 people.

**9. Total Number of People in the Building:**
Total people = People in full floors + People in remaining floors.
Total people = 240 people + 120 people = 360 people.

#### 360",360.0,360.0,True
"Mason, Noah and Jacob want to have an eating contest but can't agree on what food to eat. Mason wants hot dogs, Noah insists on burgers, and Jacob thinks they should eat pies. They finally agree that everyone can eat whatever they want and they'll use the weight of the food to determine who wins. A hot dog weighs 2 ounces, a burger weighs 5 ounces, and a pie weighs 10 ounces. Jacob eats three fewer pies than Noah eats burgers. Mason eats 3 times as many hotdogs as the number of pies consumed by Jacob. If Noah ate 8 burgers, what is the total weight of the hotdogs that Mason ate?","Jacob ate 8 – 3 = <<8-3=5>>5 pies.
Noah ate 5 * 3 = <<5*3=15>>15 hotdogs.
The total weight of the hotdogs was 15 * 2 ounces = <<15*2=30>>30 ounces.
#### 30","Let $H$ be the number of hot dogs Mason ate.
Let $B$ be the number of burgers Noah ate.
Let $P$ be the number of pies Jacob ate.

The weight of a hot dog is 2 ounces.
The weight of a burger is 5 ounces.
The weight of a pie is 10 ounces.

We are given that Noah ate 8 burgers. So, $B = 8$.

Jacob eats three fewer pies than Noah eats burgers.
This means $P = B - 3$.
Substituting the value of $B$:
$P = 8 - 3 = 5$.
So, Jacob ate 5 pies.

Mason eats 3 times as many hotdogs as the number of pies consumed by Jacob.
This means $H = 3 \times P$.
Substituting the value of $P$:
$H = 3 \times 5 = 15$.
So, Mason ate 15 hot dogs.

We need to find the total weight of the hot dogs that Mason ate.
The weight of one hot dog is 2 ounces.
The total weight of hot dogs is the number of hot dogs multiplied by the weight of each hot dog.
Total weight of hot dogs = $H \times 2$ ounces.
Total weight of hot dogs = $15 \times 2$ ounces.
Total weight of hot dogs = 30 ounces.

#### 30",30.0,30.0,True
"Marcia needs to add 3 skirts, 2 pairs of pants and 5 blouses to her work wardrobe.  A department store is offering a sale on pants; buy 1 pair get 1 pair 1/2 off.  If her skirts are $20.00 each, the blouses are $15.00 and both pairs of pants are $30.00 each.  How much will she spend on her wardrobe?","The pants are $30.00 and are buy one get one 1/2 off so the second pair will be 30*.5 = $<<30*.5=15.00>>15.00
The first pair of pants is $30.00 and the second pair is $15.00 so the pants cost 30+15 = $<<30+15=45.00>>45.00
The skirts are $20.00 each and she’s buying 3 so that’s 20*3 = $<<20*3=60.00>>60.00
The blouses are $15.00 each and she’s buying 5 so that’s 15*5 = $<<15*5=75.00>>75.00
All total, her wardrobe will cost $45 for the pants, $60 for the skirts and $75 for the blouses so 45+60+75 = $<<45+60+75=180.00>>180.00
#### 180","First, let's calculate the cost of the skirts.
Marcia needs 3 skirts, and each skirt costs $20.00.
Cost of skirts = 3 skirts * $20.00/skirt = $60.00

Next, let's calculate the cost of the blouses.
Marcia needs 5 blouses, and each blouse costs $15.00.
Cost of blouses = 5 blouses * $15.00/blouse = $75.00

Now, let's calculate the cost of the pants, considering the sale.
Marcia needs 2 pairs of pants, and each pair normally costs $30.00.
The sale is ""buy 1 pair get 1 pair 1/2 off"".
The first pair of pants will cost the full price: $30.00.
The second pair of pants will be half off: $30.00 / 2 = $15.00.
Total cost of pants = $30.00 + $15.00 = $45.00.

Finally, let's calculate the total amount Marcia will spend on her wardrobe.
Total cost = Cost of skirts + Cost of blouses + Cost of pants
Total cost = $60.00 + $75.00 + $45.00 = $180.00

#### $180.00",180.0,180.0,True
"The sum of the three numbers is 500. If the first number is 200, and the value of the second number is twice the value of the third number, find the value of the third number.","Let's say the third number is x.
The sum of the second and third number is 500-200 = <<500-200=300>>300
Since the third number is x, the sum of the values of the second and third number is x+2x = 300
This is 3x=300
The value of the third number is x=300/3
x=<<100=100>>100
#### 100","Let the three numbers be $x$, $y$, and $z$.
We are given that the sum of the three numbers is 500:
$x + y + z = 500$

We are given that the first number is 200:
$x = 200$

We are given that the value of the second number is twice the value of the third number:
$y = 2z$

Now we can substitute the value of $x$ into the first equation:
$200 + y + z = 500$

Subtract 200 from both sides of the equation:
$y + z = 500 - 200$
$y + z = 300$

Now we can substitute the relationship $y = 2z$ into this equation:
$(2z) + z = 300$

Combine the terms with $z$:
$3z = 300$

Divide by 3 to find the value of $z$:
$z = \frac{300}{3}$
$z = 100$

So, the value of the third number is 100.

We can also find the other numbers to verify:
$y = 2z = 2 \times 100 = 200$
$x = 200$
$x + y + z = 200 + 200 + 100 = 500$. This matches the given information.

#### 100",100.0,100.0,True
"Celina enjoys hiking in the mountains. Due to a lack of proper equipment, she decided to order a new pair of boots, a flashlight, and a special hoodie. The hoodie cost $80 and the flashlight was only 20% of that price. The pair of boots cost was $110, but due to a special promotion, Celina was able to buy them 10% cheaper. How much did Celina spend in total on the above-mentioned equipment?","The flashlight was 20% of the price of the hoodie, so 80 * 20/100 = $<<80*20/100=16>>16.
The promotion for a pair of boots was 110 * 10/100 = $<<110*10/100=11>>11.
So the pair of boots cost 110 - 11 = $<<110-11=99>>99.
Celina therefore spent 80 + 16 + 99 = $<<80+16+99=195>>195 on the equipment.
#### 195","**1. Calculate the cost of the flashlight:**
The flashlight cost 20% of the hoodie's price.
Flashlight cost = 20% of $80
Flashlight cost = 0.20 * $80 = $16

**2. Calculate the discounted price of the boots:**
The boots cost $110, but were 10% cheaper.
Discount amount = 10% of $110
Discount amount = 0.10 * $110 = $11
Discounted boot price = Original boot price - Discount amount
Discounted boot price = $110 - $11 = $99

**3. Calculate the total cost:**
Total cost = Cost of hoodie + Cost of flashlight + Discounted cost of boots
Total cost = $80 + $16 + $99
Total cost = $195

#### $195",195.0,195.0,True
"Mrs. Thomson received an incentive worth $240. She spent 1/3 of the money on food and 1/5 of it on clothes. Then, she put in her savings account 3/4 of the remaining money. How much money did Mrs. Thomson save?","Mrs. Thomson spent $240 x 1/3 = $<<240*1/3=80>>80 on food.
She spent $240 x 1/5 = $<<240*1/5=48>>48 on clothes.
So she spent a total of $80 + $48 = $<<80+48=128>>128 on food and clothes.
Hence, she had $240 - $128 = $<<240-128=112>>112 left after buying food and clothes.
Then, Mrs. Thomson saved $112 x 3/4 = $<<112*3/4=84>>84.
#### 84","The total incentive Mrs. Thomson received is $240.

**Step 1: Calculate the amount spent on food.**
Mrs. Thomson spent 1/3 of the money on food.
Amount spent on food = (1/3) * $240
Amount spent on food = $80

**Step 2: Calculate the amount spent on clothes.**
Mrs. Thomson spent 1/5 of the money on clothes.
Amount spent on clothes = (1/5) * $240
Amount spent on clothes = $48

**Step 3: Calculate the total amount spent on food and clothes.**
Total spent = Amount spent on food + Amount spent on clothes
Total spent = $80 + $48
Total spent = $128

**Step 4: Calculate the remaining money after spending on food and clothes.**
Remaining money = Total incentive - Total spent
Remaining money = $240 - $128
Remaining money = $112

**Step 5: Calculate the amount put into savings.**
Mrs. Thomson put 3/4 of the remaining money into her savings account.
Amount saved = (3/4) * Remaining money
Amount saved = (3/4) * $112
Amount saved = 3 * ($112 / 4)
Amount saved = 3 * $28
Amount saved = $84

#### $84",84.0,84.0,True
